timestamp,cmd_torque,cmd_torque_clamped,target_position,position,velocity,estimated_torque,valid
26.272003,0.327179,0.327179,0.000000,-3.962010,-1.422040,-0.078341,1
26.273008,0.484268,0.484268,0.000000,-3.963927,-1.600635,-0.032167,1
26.274007,0.653046,0.653046,0.000000,-3.965461,-1.611377,-0.043580,1
26.275010,0.830527,0.830527,0.000000,-3.966995,-1.548265,-0.076785,1
26.276007,1.010768,1.010768,0.000000,-3.968529,-1.600635,-0.066927,1
26.277009,1.190589,1.190589,0.000000,-3.969680,-1.456954,0.064333,1
26.278007,1.363565,1.363565,0.000000,-3.971214,-1.473067,0.139042,1
26.279007,1.526009,1.526009,0.000000,-3.972364,-1.251503,0.230873,1
26.280008,1.673340,1.673340,0.000000,-3.973515,-1.177648,0.291574,1
26.281006,1.801081,1.801081,0.000000,-3.974666,-1.126621,0.398450,1
26.282003,1.906555,1.906555,0.000000,-3.975816,-0.978912,0.465896,1
26.283003,1.987361,1.987361,0.000000,-3.976200,-0.793603,0.533341,1
26.284003,2.041613,2.041613,0.000000,-3.976583,-0.425672,0.566546,1
26.285004,2.068556,2.068556,0.000000,-3.976583,-0.331675,0.626209,1
26.286003,2.068323,2.068323,0.000000,-3.976583,0.009400,0.652669,1
26.287003,2.042005,2.042005,0.000000,-3.976583,0.169195,0.665120,1
26.288003,1.991481,1.991481,0.000000,-3.976200,0.557268,0.693136,1
26.289011,1.918781,1.918781,0.000000,-3.975433,0.559954,0.627766,1
26.290008,1.828511,1.828511,0.000000,-3.974666,0.883572,0.588855,1
26.291005,1.723781,1.723781,0.000000,-3.973899,0.945341,0.547349,1
26.292004,1.608297,1.608297,0.000000,-3.973131,0.968169,0.535417,1
26.293009,1.485695,1.485695,0.000000,-3.971597,1.227332,0.511032,1
26.294008,1.361564,1.361564,0.000000,-3.970447,1.213904,0.540605,1
26.295010,1.238564,1.238564,0.000000,-3.968913,1.274331,0.477828,1
26.296007,1.121382,1.121382,0.000000,-3.967379,1.560350,0.462783,1
26.297009,1.011675,1.011675,0.000000,-3.966228,1.466353,0.455519,1
26.298007,0.912684,0.912684,0.000000,-3.964694,1.383099,0.447218,1
26.299008,0.825508,0.825508,0.000000,-3.963160,1.544237,0.503250,1
26.300012,0.750795,0.750795,0.000000,-3.961243,1.718802,0.576922,1
26.301015,0.689117,0.689117,0.000000,-3.959709,1.706717,0.514664,1
26.302010,0.639853,0.639853,0.000000,-3.957791,1.947081,0.502731,1
26.303007,0.600890,0.600890,0.000000,-3.955874,1.971252,0.375622,1
26.304006,0.570234,0.570234,0.000000,-3.953956,1.881283,0.431654,1
26.305005,0.545272,0.545272,0.000000,-3.952039,1.908139,0.397931,1
26.306011,0.522923,0.522923,0.000000,-3.950121,1.850398,0.382885,1
26.307010,0.500177,0.500177,0.000000,-3.948204,2.075991,0.352275,1
26.308010,0.473652,0.473652,0.000000,-3.945903,1.972594,0.371990,1
26.309008,0.440217,0.440217,0.000000,-3.943985,2.137761,0.316477,1
26.310019,0.396422,0.396422,0.000000,-3.942067,2.067934,0.321146,1
26.311012,0.341267,0.341267,0.000000,-3.939766,2.081362,0.301431,1
26.312011,0.271811,0.271811,0.000000,-3.937465,2.151189,0.256813,1
26.313010,0.187265,0.187265,0.000000,-3.935548,2.088076,0.154088,1
26.314008,0.087204,0.087204,0.000000,-3.933247,2.219672,0.217383,1
26.315009,-0.028171,-0.028171,0.000000,-3.931329,2.065249,0.077822,1
26.316008,-0.157254,-0.157254,0.000000,-3.929028,2.243843,0.073153,1
26.317006,-0.298022,-0.298022,0.000000,-3.927111,2.024964,0.024384,1
26.318003,-0.447922,-0.447922,0.000000,-3.924810,2.285470,-0.009339,1
26.319003,-0.603979,-0.603979,0.000000,-3.922892,2.081362,-0.043062,1
26.320009,-0.763039,-0.763039,0.000000,-3.920591,2.167302,-0.034761,1
26.321005,-0.918377,-0.918377,0.000000,-3.918674,2.262642,-0.044099,1
26.322004,-1.067902,-1.067902,0.000000,-3.916756,1.963195,-0.069521,1
26.323004,-1.206841,-1.206841,0.000000,-3.914455,2.033021,-0.083010,1
26.324018,-1.332650,-1.332650,0.000000,-3.912537,2.006165,-0.078341,1
