timestamp,cmd_torque,target_position,position,velocity,estimated_torque,valid
14.638009,-1.919222,0.000000,4.194415,-4.640767,-0.480422,1
14.639012,-1.880501,0.000000,4.189429,-4.549455,-0.519333,1
14.640009,-1.842873,0.000000,4.184827,-4.836818,-0.492874,1
14.641009,-1.800564,0.000000,4.179458,-4.989898,-0.555651,1
14.642010,-1.748305,0.000000,4.174856,-5.095981,-0.506363,1
14.643012,-1.681029,0.000000,4.169487,-5.247719,-0.516739,1
14.644009,-1.595012,0.000000,4.164118,-5.204749,-0.574847,1
14.645009,-1.486167,0.000000,4.158749,-5.502853,-0.585742,1
14.646009,-1.352529,0.000000,4.153380,-5.266518,-0.590930,1
14.647014,-1.192072,0.000000,4.147627,-5.658620,-0.531266,1
14.648007,-1.008142,0.000000,4.142258,-5.625050,-0.528153,1
14.649004,-0.799383,0.000000,4.136505,-5.627735,-0.427503,1
14.650004,-0.569079,0.000000,4.130753,-5.908383,-0.334635,1
14.651004,-0.321741,0.000000,4.125000,-5.780816,-0.319071,1
14.652005,-0.062473,0.000000,4.119248,-5.740532,-0.243324,1
14.653004,0.202130,0.000000,4.113112,-5.927183,-0.264595,1
14.654004,0.465913,0.000000,4.107359,-5.890927,-0.247475,1
14.655009,0.722556,0.000000,4.101223,-5.980895,-0.263039,1
14.656004,0.961437,0.000000,4.095470,-5.916440,-0.224128,1
14.657011,1.180771,0.000000,4.089334,-6.045351,-0.129185,1
14.658007,1.368968,0.000000,4.083581,-5.873470,-0.065889,1
14.659018,1.524948,0.000000,4.077445,-5.982238,-0.023347,1
14.660008,1.639141,0.000000,4.072076,-5.751274,0.060701,1
14.661007,1.712391,0.000000,4.065940,-5.807672,0.121403,1
14.662008,1.741481,0.000000,4.060188,-5.641163,0.169134,1
14.663019,1.725494,0.000000,4.054818,-5.565966,0.173284,1
14.664006,1.666973,0.000000,4.049066,-5.575365,0.087680,1
14.665004,1.567350,0.000000,4.043697,-5.502853,0.114139,1
14.666005,1.430650,0.000000,4.038328,-5.349773,0.079379,1
14.667030,1.257974,0.000000,4.033342,-5.065096,0.115696,1
14.668011,1.067994,0.000000,4.027589,-5.184606,0.062777,1
14.669013,0.856371,0.000000,4.022987,-5.053011,0.109989,1
14.670011,0.635611,0.000000,4.017618,-5.061068,0.147862,1
14.671025,0.409163,0.000000,4.013016,-4.899930,0.183660,1
14.672017,0.193608,0.000000,4.008031,-4.903958,0.129704,1
14.673011,-0.008939,0.000000,4.003429,-4.913358,0.086123,1
14.674010,-0.192181,0.000000,3.998826,-4.724021,-0.000519,1
14.675010,-0.349250,0.000000,3.994224,-4.686422,-0.034761,1
14.676015,-0.475445,0.000000,3.989622,-4.734764,-0.133854,1
14.677015,-0.565985,0.000000,3.984637,-4.522599,-0.170171,1
14.678008,-0.619235,0.000000,3.980418,-4.689108,-0.236579,1
14.679024,-0.635179,0.000000,3.975816,-4.635395,-0.285867,1
14.680013,-0.614014,0.000000,3.971214,-4.464858,-0.228278,1
14.681009,-0.558294,0.000000,3.966612,-4.617939,-0.266671,1
14.682011,-0.470862,0.000000,3.962010,-4.581683,-0.206488,1
14.683014,-0.356238,0.000000,3.957408,-4.583026,-0.150975,1
14.684006,-0.221495,0.000000,3.952806,-4.556169,-0.156682,1
14.685004,-0.070467,0.000000,3.948204,-4.728050,-0.140599,1
14.686004,0.090143,0.000000,3.943601,-4.599139,-0.118809,1
14.687009,0.254811,0.000000,3.938616,-4.685080,-0.128666,1
14.688004,0.414812,0.000000,3.934014,-4.613910,-0.146306,1
14.689005,0.567351,0.000000,3.929412,-4.638081,-0.195074,1
14.690004,0.706723,0.000000,3.924810,-4.533341,-0.160314,1
14.691004,0.829432,0.000000,3.920591,-4.497085,-0.158757,1
14.692004,0.932905,0.000000,3.915989,-4.411145,-0.137486,1
14.693004,1.015823,0.000000,3.911387,-4.427259,-0.107395,1
14.694004,1.078257,0.000000,3.906785,-4.542741,0.005188,1
14.695012,1.121723,0.000000,3.902566,-4.356090,0.046693,1
14.696009,1.148112,0.000000,3.897964,-4.376232,0.093905,1
14.697012,1.161590,0.000000,3.893746,-4.272835,0.109989,1
14.698008,1.166476,0.000000,3.889910,-4.123783,0.147862,1
14.699010,1.168023,0.000000,3.885308,-4.241951,0.107913,1
14.700009,1.171768,0.000000,3.881090,-4.204352,0.057588,1
14.701023,1.183680,0.000000,3.877255,-4.047243,0.045656,1
14.702027,1.209162,0.000000,3.873036,-3.880734,0.034761,1
14.703011,1.252330,0.000000,3.869201,-3.953246,0.058626,1
14.704012,1.319062,0.000000,3.865366,-3.915647,0.002594,1
14.705008,1.411744,0.000000,3.861914,-3.874020,0.017121,1
14.706010,1.533757,0.000000,3.858463,-3.531602,0.074190,1
14.707020,1.686905,0.000000,3.854628,-3.545030,0.041505,1
14.708010,1.866100,0.000000,3.850793,-3.554430,0.122959,1
14.709009,2.074322,0.000000,3.847341,-3.332865,0.215308,1
14.710008,2.306968,0.000000,3.844657,-3.175756,0.280160,1
14.711014,2.561420,0.000000,3.841205,-3.207984,0.350200,1
14.712016,2.829439,0.000000,3.838137,-3.026704,0.397931,1
14.713010,3.103058,0.000000,3.835453,-2.818567,0.429579,1
14.714009,3.378874,0.000000,3.832384,-2.905850,0.489242,1
14.715012,3.648738,0.000000,3.830083,-2.648030,0.574847,1
14.716009,3.902451,0.000000,3.827399,-2.521805,0.561357,1
14.717010,4.135071,0.000000,3.825481,-2.242500,0.721152,1
14.718011,4.338316,0.000000,3.823564,-1.998108,0.952544,1
14.719017,4.506685,0.000000,3.821646,-1.814142,1.202612,1
14.720034,4.634949,0.000000,3.820496,-1.272988,1.499374,1
14.721005,4.714051,0.000000,3.819345,-0.934599,1.563189,1
14.722005,4.748850,0.000000,3.819345,-0.335704,1.525834,1
14.723004,4.735142,0.000000,3.819345,0.103397,1.359813,1
14.724005,4.673294,0.000000,3.819729,0.389416,1.247749,1
14.725004,4.565449,0.000000,3.820879,0.863430,1.223365,1
14.726004,4.414878,0.000000,3.822413,1.255531,1.163701,1
14.727012,4.224709,0.000000,3.823564,1.416669,1.165777,1
14.728004,4.005772,0.000000,3.825098,1.638234,1.136723,1
14.729005,3.759759,0.000000,3.827015,1.765801,1.108707,1
14.730004,3.496123,0.000000,3.829316,2.059877,1.107150,1
14.731013,3.219786,0.000000,3.831617,2.292184,0.987823,1
14.732013,2.943270,0.000000,3.834302,2.606403,0.899106,1
14.733009,2.672713,0.000000,3.836987,2.818567,0.923490,1
14.734009,2.412906,0.000000,3.840055,2.971648,0.876797,1
14.735011,2.170314,0.000000,3.843506,3.175756,0.792749,1
14.736008,1.951829,0.000000,3.846574,3.169042,0.783929,1
14.737008,1.758742,0.000000,3.850026,3.475204,0.732566,1
14.738005,1.595112,0.000000,3.853861,3.559801,0.571734,1
14.739012,1.459766,0.000000,3.857312,3.664541,0.547349,1
14.740004,1.355603,0.000000,3.860764,3.696768,0.482498,1
14.741004,1.277949,0.000000,3.864599,3.852535,0.430097,1
